SMILES,Rewards,Imp,MW
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(CC[C@H]2C[C@@H]3CC[C@H]2NC3)C=CN=C1O,"[0.426, 0.4228168725026026, 0.5365955212749349]",[0.292      0.05003132 0.36656342],0
Cc1ccc(Nc2cccc(C(=O)N3[C@@H]([CH]C(=O)C(C)c4cccnc4O)CCC[C@H]3C)c2N)o1,"[0.426, 0.41225328904637076, 0.5280592820266425]",[0.292      0.03946773 0.35802718],475.5690000000003
0:Cc1ccc(Nc2cccc(C(=O)N3[C@@H]([CH]C(=O)C(C)c4cccnc4O)CCC[C@H]3C)c2N)o1,"[0.426, 0.41225328904637076, 0.5280592820266425]",[0.292      0.03946773 0.35802718],0
0:C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(c2cccnc2O)C2CCCC2)N1C(=O)c1cccc(F)c1N,"[0.425, 0.5955839878099691, 0.5689758749416125]",[0.291      0.22279843 0.39894378],0
C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(c2cccnc2O)C2CCCC2)N1C(=O)c1cccc(F)c1N,"[0.425, 0.5955839878099691, 0.5689758749416125]",[0.291      0.22279843 0.39894378],466.57700000000034
0:[CH]C(=O)NCCC(C)C1CC[C@@H](C)N(C(=O)c2cccc(F)c2N)[C@H]1[CH]C(=O)C(C)c1cccnc1O,"[0.425, 0.44410905757026786, 0.5724131297995898]",[0.291      0.0713235  0.40238103],0
[CH]C(=O)NCCC(C)C1CC[C@@H](C)N(C(=O)c2cccc(F)c2N)[C@H]1[CH]C(=O)C(C)c1cccnc1O,"[0.425, 0.44410905757026786, 0.5724131297995898]",[0.291      0.0713235  0.40238103],509.6020000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1ccc(NC(=O)[C@H]2CCC[C@@H](C)C2)nc1O,"[0.425, 0.4152462736422732, 0.5450560719815764]",[0.291      0.04246072 0.37502397],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1ccc(NC(=O)[C@H]2CCC[C@@H](C)C2)nc1O,"[0.425, 0.4152462736422732, 0.5450560719815764]",[0.291      0.04246072 0.37502397],537.6560000000004
CC(C(=O)[CH][C@H]1CC(C)(N[C@@H](C)Cc2ccccn2)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.425, 0.38055817846056966, 0.6166731256540898]",[0.291      0.00777262 0.44664103],504.58600000000024
0:CC(C(=O)[CH][C@H]1CC(C)(N[C@@H](C)Cc2ccccn2)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.425, 0.38055817846056966, 0.6166731256540898]",[0.291      0.00777262 0.44664103],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)=C1OCC1NC(=O)CC[C@H]1C[CH][NH3+])c1cccnc1O,"[0.425, 0.34851472365376096, 0.57275107482077]",[ 0.291      -0.02427083  0.40271898],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)=C1OCC1NC(=O)CC[C@H]1C[CH][NH3+])c1cccnc1O,"[0.425, 0.34851472365376096, 0.57275107482077]",[ 0.291      -0.02427083  0.40271898],542.6320000000003
Cc1ccc(CN(CN)CC2(C(C)C(=O)[CH][C@H]3CCC[C@@H](C)N3C(=O)c3cccc(F)c3N)C=CN=C2O)cc1,"[0.425, 0.2986196816079287, 0.5547186980042313]",[ 0.291      -0.07416587  0.3846866 ],548.6830000000003
0:Cc1ccc(CN(CN)CC2(C(C)C(=O)[CH][C@H]3CCC[C@@H](C)N3C(=O)c3cccc(F)c3N)C=CN=C2O)cc1,"[0.425, 0.2986196816079287, 0.5547186980042313]",[ 0.291      -0.07416587  0.3846866 ],0
0:Cc1ccc(OC2=NC(O)=C2C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)cc1,"[0.424, 0.5821203623060516, 0.5574504345348604]",[0.29       0.20933481 0.38741834],0
Cc1ccc(OC2=NC(O)=C2C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)cc1,"[0.424, 0.5821203623060516, 0.5574504345348604]",[0.29       0.20933481 0.38741834],478.54400000000027
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)(CNC(=O)[C@H]2[CH]C2)C=C1)c1cccnc1O,"[0.424, 0.5219697031638916, 0.49261368908458736]",[0.29       0.14918415 0.32258159],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)(CNC(=O)[C@H]2[CH]C2)C=C1)c1cccnc1O,"[0.424, 0.5219697031638916, 0.49261368908458736]",[0.29       0.14918415 0.32258159],482.5560000000002
CC[C@@H](NC1=C(N)C(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)=C1)c1ccccc1,"[0.424, 0.48708532993281417, 0.475241667509286]",[0.29       0.11429977 0.30520957],487.62400000000025
0:CC[C@@H](NC1=C(N)C(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)=C1)c1ccccc1,"[0.424, 0.48708532993281417, 0.475241667509286]",[0.29       0.11429977 0.30520957],0
CC(C(=O)[CH][C@H]1CC(OC(=O)Nc2csc(Br)c2)C[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.424, 0.2970219543991017, 0.5429534831418785]",[ 0.29       -0.0757636   0.37292138],618.5050000000001
0:CC(C(=O)[CH][C@H]1CC(OC(=O)Nc2csc(Br)c2)C[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.424, 0.2970219543991017, 0.5429534831418785]",[ 0.29       -0.0757636   0.37292138],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=CC1(N)C[CH]Cc1ccccc1)c1cccnc1O,"[0.423, 0.5927068606244481, 0.5419682340396865]",[0.289      0.21992131 0.37193614],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=CC1(N)C[CH]Cc1ccccc1)c1cccnc1O,"[0.423, 0.5927068606244481, 0.5419682340396865]",[0.289      0.21992131 0.37193614],459.5900000000002
C[C@@H]1CCC[C@H]([CH]C(=O)C(C[C@@H]([NH3+])c2ccc(F)cc2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.423, 0.3864867646486855, 0.5676022652928291]",[0.289      0.01370121 0.39757017],522.5960000000001
0:C[C@@H]1CCC[C@H]([CH]C(=O)C(C[C@@H]([NH3+])c2ccc(F)cc2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.423, 0.3864867646486855, 0.5676022652928291]",[0.289      0.01370121 0.39757017],0
Cc1ccc([C@@H](C)OCC2C[C@H]([CH]C(=O)C(C)c3cccnc3O)N(C(=O)c3cccc(F)c3N)[C@H](C)C2)cc1,"[0.423, 0.32969378720178577, 0.5955482264463576]",[ 0.289      -0.04309177  0.42551613],546.6630000000002
0:Cc1ccc([C@@H](C)OCC2C[C@H]([CH]C(=O)C(C)c3cccnc3O)N(C(=O)c3cccc(F)c3N)[C@H](C)C2)cc1,"[0.423, 0.32969378720178577, 0.5955482264463576]",[ 0.289      -0.04309177  0.42551613],0
CC(C)c1ccccc1NC1CC[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@@H]1C,"[0.423, 0.32273702683903416, 0.5529817732422342]",[ 0.289      -0.05004853  0.38294968],531.6520000000002
0:CC(C)c1ccccc1NC1CC[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@@H]1C,"[0.423, 0.32273702683903416, 0.5529817732422342]",[ 0.289      -0.05004853  0.38294968],0
0:Cc1cnc2sc([C@@H](C)C(C(=O)[CH][C@H]3CCC[C@@H](C)N3C(=O)c3cccc(F)c3N)c3cccnc3O)nn12,"[0.423, 0.32098106491771017, 0.5426545274323512]",[ 0.289      -0.05180449  0.37262243],0
Cc1cnc2sc([C@@H](C)C(C(=O)[CH][C@H]3CCC[C@@H](C)N3C(=O)c3cccc(F)c3N)c3cccnc3O)nn12,"[0.423, 0.32098106491771017, 0.5426545274323512]",[ 0.289      -0.05180449  0.37262243],549.6520000000002
CC(C(=O)[CH][C@@H]1N(C(=O)c2cccc(F)c2N)C1(C)[C@H](O)c1cc(Cl)ccc1[N+]=O)c1cccnc1O,"[0.423, 0.29911547890032736, 0.5561671543979487]",[ 0.289      -0.07367008  0.38613506],525.9440000000002
0:CC(C(=O)[CH][C@@H]1N(C(=O)c2cccc(F)c2N)C1(C)[C@H](O)c1cc(Cl)ccc1[N+]=O)c1cccnc1O,"[0.423, 0.29911547890032736, 0.5561671543979487]",[ 0.289      -0.07367008  0.38613506],0
C[CH][NH2+][C@@H](C)C1=C(O)C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)=C1,"[0.422, 0.5387969969048173, 0.5346654906008528]",[0.288      0.16601144 0.36463339],442.5550000000001
0:C[CH][NH2+][C@@H](C)C1=C(O)C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)=C1,"[0.422, 0.5387969969048173, 0.5346654906008528]",[0.288      0.16601144 0.36463339],0
0:CC(C(=O)[CH][C@H]1C(NC(=O)C2CC2)CC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.422, 0.5222850246039975, 0.5592446368932169]",[0.288      0.14949947 0.38921254],0
CC(C(=O)[CH][C@H]1C(NC(=O)C2CC2)CC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.422, 0.5222850246039975, 0.5592446368932169]",[0.288      0.14949947 0.38921254],481.5480000000002
0:CC[C@@H](O)Cc1ccc(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)c(O)n1,"[0.422, 0.5056990314206549, 0.5588154976477175]",[0.288      0.13291348 0.3887834 ],0
CC[C@@H](O)Cc1ccc(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)c(O)n1,"[0.422, 0.5056990314206549, 0.5588154976477175]",[0.288      0.13291348 0.3887834 ],470.56500000000017
COCc1ccccc1C1C[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.422, 0.4725432615950569, 0.557168156352092]",[0.288      0.09975771 0.38713606],476.52800000000013
0:COCc1ccccc1C1C[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.422, 0.4725432615950569, 0.557168156352092]",[0.288      0.09975771 0.38713606],0
0:C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(CNC(=O)C2CCCC2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.422, 0.4503979840540506, 0.5500706641150681]",[0.288      0.07761243 0.38003857],0
C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(CNC(=O)C2CCCC2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.422, 0.4503979840540506, 0.5500706641150681]",[0.288      0.07761243 0.38003857],523.6290000000001
CC(C(=O)[CH][C@H]1C(CCCN2C(=O)NC2C)C[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.422, 0.4433637965668667, 0.5746316737436502]",[0.288      0.07057824 0.40459958],510.5900000000002
0:CC(C(=O)[CH][C@H]1C(CCCN2C(=O)NC2C)C[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.422, 0.4433637965668667, 0.5746316737436502]",[0.288      0.07057824 0.40459958],0
CC(=O)NC[C@@](C)(O)C1[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.422, 0.3437547455508837, 0.5622226513348967]",[ 0.288      -0.02903081  0.39219055],457.4820000000002
0:CC(=O)NC[C@@](C)(O)C1[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.422, 0.3437547455508837, 0.5622226513348967]",[ 0.288      -0.02903081  0.39219055],0
CC(=N)NCc1ncccc1C(C)C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N,"[0.422, 0.335583904454125, 0.5363225088171847]",[ 0.288      -0.03720165  0.36629041],452.55400000000026
0:CC(=N)NCc1ncccc1C(C)C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N,"[0.422, 0.335583904454125, 0.5363225088171847]",[ 0.288      -0.03720165  0.36629041],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1NC(=O)Nc1cc[nH]c1O)c1cccnc1O,"[0.422, 0.3071960687515527, 0.555857510775829]",[ 0.288      -0.06558949  0.38582541],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1NC(=O)Nc1cc[nH]c1O)c1cccnc1O,"[0.422, 0.3071960687515527, 0.555857510775829]",[ 0.288      -0.06558949  0.38582541],522.5570000000002
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cc(Nc2ccc(Br)s2)cnc1O,"[0.422, 0.2973460814239284, 0.5587648240980552]",[ 0.288      -0.07543947  0.38873273],574.4960000000001
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cc(Nc2ccc(Br)s2)cnc1O,"[0.422, 0.2973460814239284, 0.5587648240980552]",[ 0.288      -0.07543947  0.38873273],0
CC(C(=O)[CH][C@H]1CCC[C@@H](CNc2nocc2C[NH+](C)C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.422, 0.2882998225690451, 0.5795636899552055]",[ 0.288      -0.08448573  0.40953159],538.6240000000003
0:CC(C(=O)[CH][C@H]1CCC[C@@H](CNc2nocc2C[NH+](C)C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.422, 0.2882998225690451, 0.5795636899552055]",[ 0.288      -0.08448573  0.40953159],0
CC(N=Cc1ccccc1F)C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N,"[0.421, 0.5553402582797299, 0.5159330117470283]",[0.287      0.1825547  0.34590091],426.4870000000001
0:CC(N=Cc1ccccc1F)C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N,"[0.421, 0.5553402582797299, 0.5159330117470283]",[0.287      0.1825547  0.34590091],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(N[C@@H]2C(=O)CN2C)c1N)c1cccnc1O,"[0.421, 0.5181225382519591, 0.5471078644375431]",[0.287      0.14533698 0.37707577],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(N[C@@H]2C(=O)CN2C)c1N)c1cccnc1O,"[0.421, 0.5181225382519591, 0.5471078644375431]",[0.287      0.14533698 0.37707577],478.57300000000026
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cc(C[CH]C(=O)N2CCCCC2)cc(F)c1N)c1cccnc1O,"[0.421, 0.4879818737260963, 0.5617944755963443]",[0.287      0.11519632 0.39176238],536.6480000000004
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cc(C[CH]C(=O)N2CCCCC2)cc(F)c1N)c1cccnc1O,"[0.421, 0.4879818737260963, 0.5617944755963443]",[0.287      0.11519632 0.39176238],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1([NH+]2CCC[C@@H]2C(N)=O)N=C1O,"[0.421, 0.42399520999305373, 0.5930096196924521]",[0.287      0.05120965 0.42297752],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1([NH+]2CCC[C@@H]2C(N)=O)N=C1O,"[0.421, 0.42399520999305373, 0.5930096196924521]",[0.287      0.05120965 0.42297752],473.5490000000003
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1NC(=O)NCC1=CN2C=CC=CC2=NC1)c1cccnc1O,"[0.421, 0.4126842115537978, 0.5408045608302932]",[0.287      0.03989866 0.37077246],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1NC(=O)NCC1=CN2C=CC=CC2=NC1)c1cccnc1O,"[0.421, 0.4126842115537978, 0.5408045608302932]",[0.287      0.03989866 0.37077246],585.6600000000003
0:C[CH]Cc1cn(C)nc1Cc1ccc(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)c(N)c1F,"[0.421, 0.3899444132851576, 0.5689638841579562]",[0.287      0.01715886 0.39893179],0
C[CH]Cc1cn(C)nc1Cc1ccc(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)c(N)c1F,"[0.421, 0.3899444132851576, 0.5689638841579562]",[0.287      0.01715886 0.39893179],533.6480000000004
CC(C(=O)[CH][C@H]1CCC(C)(Nc2cccc(Cl)c2)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.421, 0.3789805683587547, 0.5328146855759048]",[0.287      0.00619501 0.36278259],509.98900000000026
0:CC(C(=O)[CH][C@H]1CCC(C)(Nc2cccc(Cl)c2)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.421, 0.3789805683587547, 0.5328146855759048]",[0.287      0.00619501 0.36278259],0
[CH]NC(=O)N[C@@H](C)C1=C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)C(O)=N1,"[0.421, 0.35873194861412616, 0.5647802890829995]",[ 0.287      -0.01405361  0.39474819],470.52500000000015
0:[CH]NC(=O)N[C@@H](C)C1=C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)C(O)=N1,"[0.421, 0.35873194861412616, 0.5647802890829995]",[ 0.287      -0.01405361  0.39474819],0
CC(C(=O)[CH][C@H]1C(Oc2cccc(OCC(F)(F)F)c2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.421, 0.2883750057435109, 0.559739670014904]",[ 0.287      -0.08441055  0.38970757],560.5240000000002
0:CC(C(=O)[CH][C@H]1C(Oc2cccc(OCC(F)(F)F)c2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.421, 0.2883750057435109, 0.559739670014904]",[ 0.287      -0.08441055  0.38970757],0
C[NH2+]C(COc1ccccc1)=C(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.421, 0.2870422512756933, 0.5796471373706562]",[ 0.287      -0.0857433   0.40961504],532.6160000000003
0:C[NH2+]C(COc1ccccc1)=C(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.421, 0.2870422512756933, 0.5796471373706562]",[ 0.287      -0.0857433   0.40961504],0
C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(C(=O)c2cccs2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.421, 0.27464949961434065, 0.563699595230676]",[ 0.287      -0.09813606  0.3936675 ],508.5950000000002
0:C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(C(=O)c2cccs2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.421, 0.27464949961434065, 0.563699595230676]",[ 0.287      -0.09813606  0.3936675 ],0
0:C[C@@H]1CCC[C@H]([CH]C(=O)C([N-]CC[NH+]Cc2nc3ccccc3o2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.421, 0.18379998418649582, 0.5438675539009263]",[ 0.287      -0.18898557  0.37383546],0
C[C@@H]1CCC[C@H]([CH]C(=O)C([N-]CC[NH+]Cc2nc3ccccc3o2)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.421, 0.18379998418649582, 0.5438675539009263]",[ 0.287      -0.18898557  0.37383546],572.6410000000001
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)(CC2CCCC2)C=C1)c1cccnc1O,"[0.42, 0.6139912834411644, 0.495257925560572]",[0.286      0.24120573 0.32522583],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)(CC2CCCC2)C=C1)c1cccnc1O,"[0.42, 0.6139912834411644, 0.495257925560572]",[0.286      0.24120573 0.32522583],468.5930000000003
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=CC(NC(=O)N2[CH]CCCC2)=C1N)c1cccnc1O,"[0.42, 0.575434912927194, 0.5187891326280085]",[0.286      0.20264936 0.34875703],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=CC(NC(=O)N2[CH]CCCC2)=C1N)c1cccnc1O,"[0.42, 0.575434912927194, 0.5187891326280085]",[0.286      0.20264936 0.34875703],479.58100000000036
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(O)C(O)=N[C@@H]1c1ccc(F)cc1,"[0.42, 0.5398532309686915, 0.5401838277024609]",[0.286      0.16706768 0.37015173],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(O)C(O)=N[C@@H]1c1ccc(F)cc1,"[0.42, 0.5398532309686915, 0.5401838277024609]",[0.286      0.16706768 0.37015173],484.5230000000002
0:CC(C(=O)[CH][C@H]1CCC(N[C@@H]2COCCO2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.42, 0.49596709274233974, 0.5627252535233835]",[0.286      0.12318154 0.39269316],0
CC(C(=O)[CH][C@H]1CCC(N[C@@H]2COCCO2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.42, 0.49596709274233974, 0.5627252535233835]",[0.286      0.12318154 0.39269316],499.56300000000016
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)N=C1N=N[CH]c1ccccc1,"[0.42, 0.41776456031310716, 0.5487780480454383]",[0.286      0.04497901 0.37874595],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)N=C1N=N[CH]c1ccccc1,"[0.42, 0.41776456031310716, 0.5487780480454383]",[0.286      0.04497901 0.37874595],489.5510000000002
CC(C)NC(=O)CCCC1C[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@H](C)C1,"[0.42, 0.3952016826400414, 0.563996020740704]",[0.286      0.02241613 0.39396392],525.6450000000002
0:CC(C)NC(=O)CCCC1C[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@H](C)C1,"[0.42, 0.3952016826400414, 0.563996020740704]",[0.286      0.02241613 0.39396392],0
0:CCC[NH+](O)CCC1C[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@H](C)C1,"[0.42, 0.294092975411772, 0.5689478461154529]",[ 0.286      -0.07869258  0.39891575],0
CCC[NH+](O)CCC1C[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@H](C)C1,"[0.42, 0.294092975411772, 0.5689478461154529]",[ 0.286      -0.07869258  0.39891575],500.61500000000024
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1OCN[C@@H](C)c1ccco1,"[0.42, 0.2839252735478217, 0.5721290188521149]",[ 0.286      -0.08886028  0.40209692],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1OCN[C@@H](C)c1ccco1,"[0.42, 0.2839252735478217, 0.5721290188521149]",[ 0.286      -0.08886028  0.40209692],521.6130000000003
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=CC(C[C@@H]2CCCCO2)=C1O,"[0.419, 0.5536114238481088, 0.5391352413252073]",[0.285      0.18082587 0.36910314],469.5770000000004
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=CC(C[C@@H]2CCCCO2)=C1O,"[0.419, 0.5536114238481088, 0.5391352413252073]",[0.285      0.18082587 0.36910314],0
CC(C(=O)[CH][C@H]1CC(C[CH]C(=O)N2CCOCC2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.419, 0.5087422430782509, 0.5891056048547945]",[0.285      0.13595669 0.41907351],524.5930000000002
0:CC(C(=O)[CH][C@H]1CC(C[CH]C(=O)N2CCOCC2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.419, 0.5087422430782509, 0.5891056048547945]",[0.285      0.13595669 0.41907351],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C1(F)N[C@@H](C)Cc1ccccc1)c1cccnc1O,"[0.419, 0.46129117052969804, 0.5348841269944382]",[0.285      0.08850562 0.36485203],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C1(F)N[C@@H](C)Cc1ccccc1)c1cccnc1O,"[0.419, 0.46129117052969804, 0.5348841269944382]",[0.285      0.08850562 0.36485203],493.6030000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)(C=Nc2cc(Cl)c(N)cn2)C=C1)c1cccnc1O,"[0.419, 0.4508864294320214, 0.5198542845763054]",[0.285      0.07810087 0.34982219],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(N)C(F)(C=Nc2cc(Cl)c(N)cn2)C=C1)c1cccnc1O,"[0.419, 0.4508864294320214, 0.5198542845763054]",[0.285      0.07810087 0.34982219],540.0190000000002
CC[C@H]1C[C@@](C)(O)[C]1C1[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.419, 0.43833546868021195, 0.5536015317805817]",[0.285      0.06554991 0.38356943],453.5140000000002
0:CC[C@H]1C[C@@](C)(O)[C]1C1[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.419, 0.43833546868021195, 0.5536015317805817]",[0.285      0.06554991 0.38356943],0
0:CC(C(=O)[CH][C@H]1CC([N+]Cc2ncc(Br)cc2O)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.419, 0.3425898904278395, 0.5761995752300315]",[ 0.285      -0.03019566  0.40616748],0
CC(C(=O)[CH][C@H]1CC([N+]Cc2ncc(Br)cc2O)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.419, 0.3425898904278395, 0.5761995752300315]",[ 0.285      -0.03019566  0.40616748],584.4460000000003
0:[CH][C@@H]1[C@@H](C)CC[C@@H]1c1ccc(F)c(N)c1C(=O)N1[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.418, 0.5329444799664517, 0.5662647164762957]",[0.284      0.16015892 0.39623262],0
[CH][C@@H]1[C@@H](C)CC[C@@H]1c1ccc(F)c(N)c1C(=O)N1[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.418, 0.5329444799664517, 0.5662647164762957]",[0.284      0.16015892 0.39623262],492.6150000000003
